Month,Batch,Distance,Number
Jun,39,70,0
Jun,39,100,7
Jun,39,130,34
Jun,40,10,0
Jun,40,40,0
Jun,40,70,0
Jun,40,100,4
Jun,40,130,41
Jul,1,10,0
Jul,1,40,0
Jul,1,70,0
Jul,1,100,1
Jul,1,130,2
Jul,2,10,0
Jul,2,40,0
Jul,2,70,0
Jul,2,100,3
Jul,2,130,1
Jul,3,10,0
Jul,3,40,0
Jul,3,70,0
Jul,3,100,1
Jul,3,130,0
Jul,4,10,0
Jul,4,40,0
Jul,4,70,0
Jul,4,100,0
Jul,4,130,1
Jul,5,10,0
Jul,5,40,0
Jul,5,70,0
Jul,5,100,2
Jul,5,130,3
Jul,6,10,0
Jul,6,40,0
Jul,6,70,0
Jul,6,100,1
Jul,6,130,2
Jul,7,10,0
Jul,7,40,0
Jul,7,70,0
Jul,7,100,2
Jul,7,130,0
Jul,8,10,0
Jul,8,40,0
Jul,8,70,0
Jul,8,100,0
Jul,8,130,0
Jul,9,10,0
Jul,9,40,0
Jul,9,70,0
Jul,9,100,3
Jul,9,130,2
Jul,10,10,0
Jul,10,40,0
Jul,10,70,1
Jul,10,100,2
Jul,10,130,0
Jul,11,10,0
Jul,11,40,0
Jul,11,70,0
Jul,11,100,2
Jul,11,130,0
Jul,12,10,0
Jul,12,40,0
Jul,12,70,0
Jul,12,100,3
Jul,12,130,1
Jul,13,10,0
Jul,13,40,0
Jul,13,70,0
Jul,13,100,2
Jul,13,130,0
Jul,14,10,0
Jul,14,40,0
Jul,14,70,0
Jul,14,100,3
Jul,14,130,2
Jul,15,10,0
Jul,15,40,0
Jul,15,70,0
Jul,15,100,1
Jul,15,130,2
Jul,16,10,0
Jul,16,40,0
Jul,16,70,0
Jul,16,100,1
Jul,16,130,0
Jul,17,10,0
Jul,17,40,0
Jul,17,70,1
Jul,17,100,1
Jul,17,130,0
Jul,18,10,0
Jul,18,40,0
Jul,18,70,0
Jul,18,100,4
Jul,18,130,1
Jul,19,10,0
Jul,19,40,0
Jul,19,70,0
Jul,19,100,3
Jul,19,130,0
Jul,20,10,0
Jul,20,40,0
Jul,20,70,1
Jul,20,100,2
Jul,20,130,0
Jul,21,10,0
Jul,21,40,0
Jul,21,70,1
Jul,21,100,2
Jul,21,130,1
Jul,22,10,0
Jul,22,40,0
Jul,22,70,0
Jul,22,100,2
Jul,22,130,1
Jul,23,10,0
Jul,23,40,0
Jul,23,70,1
Jul,23,100,2
Jul,23,130,0
Jul,24,10,0
Jul,24,40,0
Jul,24,70,0
Jul,24,100,2
Jul,24,130,2
Jul,25,10,0
Jul,25,40,0
Jul,25,70,0
Jul,25,100,3
Jul,25,130,0
Jul,26,10,0
Jul,26,40,0
Jul,26,70,0
Jul,26,100,0
Jul,26,130,2
Jul,27,10,0
Jul,27,40,0
Jul,27,70,0
Jul,27,100,0
Jul,27,130,3
Jul,28,10,0
Jul,28,40,0
Jul,28,70,0
Jul,28,100,0
Jul,28,130,0
Jul,29,10,0
Jul,29,40,0
Jul,29,70,0
Jul,29,100,1
Jul,29,130,3
Jul,30,10,0
Jul,30,40,0
Jul,30,70,0
Jul,30,100,0
Jul,30,130,0
Jul,31,10,0
Jul,31,40,0
Jul,31,70,0
Jul,31,100,0
Jul,31,130,1
Jul,32,10,0
Jul,32,40,0
Jul,32,70,0
Jul,32,100,0
Jul,32,130,2
Jul,33,10,0
Jul,33,40,0
Jul,33,70,0
Jul,33,100,0
Jul,33,130,3
Jul,34,10,0
Jul,34,40,0
Jul,34,70,0
Jul,34,100,0
Jul,34,130,1
Jul,35,10,0
Jul,35,40,0
Jul,35,70,0
Jul,35,100,1
Jul,35,130,3
Jul,36,10,0
Jul,36,40,0
Jul,36,70,0
Jul,36,100,0
Jul,36,130,3
Jul,37,10,0
Jul,37,40,0
Jul,37,70,0
Jul,37,100,0
Jul,37,130,2
Jul,38,10,0
Jul,38,40,0
Jul,38,70,0
Jul,38,100,2
Jul,38,130,3
Jul,39,10,0
Jul,39,40,0
Jul,39,70,0
Jul,39,100,0
Jul,39,130,0
Jul,40,10,0
Jul,40,40,0
Jul,40,70,0
Jul,40,100,0
Jul,40,130,4
Aug,1,10,1
Aug,1,40,0
Aug,1,70,3
Aug,1,100,1
Aug,1,130,33
Aug,2,10,1
Aug,2,40,12
Aug,2,70,10
Aug,2,100,2
Aug,2,130,24
Aug,3,10,1
Aug,3,40,2
Aug,3,70,9
Aug,3,100,1
Aug,3,130,34
Aug,4,10,0
Aug,4,40,2
Aug,4,70,24
Aug,4,100,0
Aug,4,130,26
Aug,5,10,2
Aug,5,40,1
Aug,5,70,24
Aug,5,100,2
Aug,5,130,44
Aug,6,10,4
Aug,6,40,2
Aug,6,70,10
Aug,6,100,2
Aug,6,130,28
Aug,7,10,1
Aug,7,40,4
Aug,7,70,20
Aug,7,100,0
Aug,7,130,39
Aug,8,10,0
Aug,8,40,9
Aug,8,70,22
Aug,8,100,3
Aug,8,130,61
Aug,9,10,1
Aug,9,40,1
Aug,9,70,10
Aug,9,100,1
Aug,9,130,34
Aug,10,10,2
Aug,10,40,4
Aug,10,70,19
Aug,10,100,10
Aug,10,130,44
Aug,11,10,1
Aug,11,40,5
Aug,11,70,12
Aug,11,100,1
Aug,11,130,28
Aug,12,10,1
Aug,12,40,3
Aug,12,70,7
Aug,12,100,2
Aug,12,130,50
Aug,13,10,1
Aug,13,40,1
Aug,13,70,5
Aug,13,100,0
Aug,13,130,38
Aug,14,10,0
Aug,14,40,6
Aug,14,70,15
Aug,14,100,0
Aug,14,130,57
Aug,15,10,0
Aug,15,40,15
Aug,15,70,0
Aug,15,100,0
Aug,15,130,14
Aug,16,10,2
Aug,16,40,6
Aug,16,70,4
Aug,16,100,2
Aug,16,130,26
Aug,17,10,7
Aug,17,40,4
Aug,17,70,2
Aug,17,100,0
Aug,17,130,17
Aug,18,10,1
Aug,18,40,1
Aug,18,70,0
Aug,18,100,1
Aug,18,130,36
Aug,19,10,2
Aug,19,40,1
Aug,19,70,3
Aug,19,100,0
Aug,19,130,41
Aug,20,10,2
Aug,20,40,3
Aug,20,70,5
Aug,20,100,0
Aug,20,130,13
Aug,21,10,7
Aug,21,40,10
Aug,21,70,9
Aug,21,100,2
Aug,21,130,43
Aug,22,10,0
Aug,22,40,0
Aug,22,70,19
Aug,22,100,0
Aug,22,130,3
Aug,23,10,0
Aug,23,40,5
Aug,23,70,5
Aug,23,100,0
Aug,23,130,30
Aug,24,10,2
Aug,24,40,1
Aug,24,70,12
Aug,24,100,0
Aug,24,130,46
Aug,25,10,0
Aug,25,40,0
Aug,25,70,3
Aug,25,100,0
Aug,25,130,31
Aug,26,10,3
Aug,26,40,5
Aug,26,70,2
Aug,26,100,0
Aug,26,130,49
Aug,27,10,0
Aug,27,40,3
Aug,27,70,11
Aug,27,100,0
Aug,27,130,14
Aug,28,10,0
Aug,28,40,0
Aug,28,70,5
Aug,28,100,1
Aug,28,130,34
Aug,29,10,2
Aug,29,40,1
Aug,29,70,2
Aug,29,100,0
Aug,29,130,30
Aug,30,10,0
Aug,30,40,3
Aug,30,70,0
Aug,30,100,0
Aug,30,130,13
Aug,31,10,4
Aug,31,40,2
Aug,31,70,8
Aug,31,100,0
Aug,31,130,36
Aug,32,10,0
Aug,32,40,6
Aug,32,70,8
Aug,32,100,0
Aug,32,130,10
Aug,33,10,5
Aug,33,40,9
Aug,33,70,15
Aug,33,100,0
Aug,33,130,31
Aug,34,10,2
Aug,34,40,5
Aug,34,70,7
Aug,34,100,0
Aug,34,130,31
Aug,35,10,7
Aug,35,40,9
Aug,35,70,23
Aug,35,100,1
Aug,35,130,33
Aug,36,10,1
Aug,36,40,2
Aug,36,70,8
Aug,36,100,2
Aug,36,130,26
Aug,37,10,2
Aug,37,40,3
Aug,37,70,16
Aug,37,100,2
Aug,37,130,23
Aug,38,10,6
Aug,38,40,3
Aug,38,70,12
Aug,38,100,3
Aug,38,130,32
Aug,39,10,1
Aug,39,40,0
Aug,39,70,8
Aug,39,100,4
Aug,39,130,22
Aug,40,10,1
Aug,40,40,4
Aug,40,70,13
Aug,40,100,0
Aug,40,130,31
Sep,1,10,1
Sep,1,40,0
Sep,1,70,0
Sep,1,100,0
Sep,1,130,32
Sep,2,10,0
Sep,2,40,0
Sep,2,70,0
Sep,2,100,0
Sep,2,130,26
Sep,3,10,0
Sep,3,40,0
Sep,3,70,0
Sep,3,100,0
Sep,3,130,29
Sep,4,10,0
Sep,4,40,0
Sep,4,70,0
Sep,4,100,0
Sep,4,130,8
Sep,5,10,0
Sep,5,40,0
Sep,5,70,0
Sep,5,100,0
Sep,5,130,26
Sep,6,10,0
Sep,6,40,0
Sep,6,70,0
Sep,6,100,0
Sep,6,130,16
Sep,7,10,0
Sep,7,40,0
Sep,7,70,0
Sep,7,100,0
Sep,7,130,18
Sep,8,10,0
Sep,8,40,1
Sep,8,70,0
Sep,8,100,0
Sep,8,130,22
Sep,9,10,0
Sep,9,40,0
Sep,9,70,0
Sep,9,100,0
Sep,9,130,40
Sep,10,10,0
Sep,10,40,0
Sep,10,70,0
Sep,10,100,0
Sep,10,130,13
Sep,11,10,0
Sep,11,40,1
Sep,11,70,0
Sep,11,100,0
Sep,11,130,12
Sep,12,10,0
Sep,12,40,2
Sep,12,70,0
Sep,12,100,0
Sep,12,130,14
Sep,13,10,0
Sep,13,40,0
Sep,13,70,0
Sep,13,100,0
Sep,13,130,16
Sep,14,10,0
Sep,14,40,0
Sep,14,70,0
Sep,14,100,0
Sep,14,130,17
Sep,15,10,0
Sep,15,40,0
Sep,15,70,0
Sep,15,100,0
Sep,15,130,18
Sep,16,10,0
Sep,16,40,0
Sep,16,70,0
Sep,16,100,0
Sep,16,130,12
Sep,17,10,0
Sep,17,40,0
Sep,17,70,0
Sep,17,100,0
Sep,17,130,10
Sep,18,10,0
Sep,18,40,0
Sep,18,70,0
Sep,18,100,0
Sep,18,130,18
Sep,19,10,0
Sep,19,40,0
Sep,19,70,0
Sep,19,100,0
Sep,19,130,33
Sep,20,10,0
Sep,20,40,0
Sep,20,70,0
Sep,20,100,0
Sep,20,130,29
Sep,21,10,0
Sep,21,40,0
Sep,21,70,0
Sep,21,100,0
Sep,21,130,23
Sep,22,10,0
Sep,22,40,1
Sep,22,70,0
Sep,22,100,0
Sep,22,130,22
Sep,23,10,0
Sep,23,40,0
Sep,23,70,0
Sep,23,100,0
Sep,23,130,12
Sep,24,10,0
Sep,24,40,0
Sep,24,70,0
Sep,24,100,0
Sep,24,130,20
Sep,25,10,0
Sep,25,40,0
Sep,25,70,0
Sep,25,100,0
Sep,25,130,25
Sep,26,10,0
Sep,26,40,0
Sep,26,70,0
Sep,26,100,0
Sep,26,130,15
Sep,27,10,0
Sep,27,40,0
Sep,27,70,0
Sep,27,100,0
Sep,27,130,11
Sep,28,10,0
Sep,28,40,0
Sep,28,70,0
Sep,28,100,0
Sep,28,130,11
Sep,29,10,0
Sep,29,40,0
Sep,29,70,0
Sep,29,100,0
Sep,29,130,8
Sep,30,10,0
Sep,30,40,0
Sep,30,70,0
Sep,30,100,0
Sep,30,130,8
Sep,31,10,0
Sep,31,40,0
Sep,31,70,0
Sep,31,100,0
Sep,31,130,7
Sep,32,10,0
Sep,32,40,0
Sep,32,70,0
Sep,32,100,0
Sep,32,130,5
Sep,33,10,0
Sep,33,40,0
Sep,33,70,0
Sep,33,100,0
Sep,33,130,7
Sep,34,10,0
Sep,34,40,0
Sep,34,70,0
Sep,34,100,0
Sep,34,130,8
Sep,35,10,0
Sep,35,40,0
Sep,35,70,0
Sep,35,100,0
Sep,35,130,5
Sep,36,10,0
Sep,36,40,0
Sep,36,70,0
Sep,36,100,0
Sep,36,130,9
Sep,37,10,0
Sep,37,40,0
Sep,37,70,0
Sep,37,100,0
Sep,37,130,8
Sep,38,10,0
Sep,38,40,0
Sep,38,70,0
Sep,38,100,0
Sep,38,130,6
Sep,39,10,0
Sep,39,40,0
Sep,39,70,0
Sep,39,100,0
Sep,39,130,19
Sep,40,10,0
Sep,40,40,0
Sep,40,70,0
Sep,40,100,0
Sep,40,130,8
Oct,1,10,0
Oct,1,40,1
Oct,1,70,1
Oct,1,100,1
Oct,1,130,4
Oct,2,10,0
Oct,2,40,0
Oct,2,70,0
Oct,2,100,2
Oct,2,130,2
Oct,3,10,0
Oct,3,40,0
Oct,3,70,2
Oct,3,100,0
Oct,3,130,9
Oct,4,10,0
Oct,4,40,0
Oct,4,70,0
Oct,4,100,1
Oct,4,130,12
Oct,5,10,0
Oct,5,40,0
Oct,5,70,0
Oct,5,100,9
Oct,5,130,11
Oct,6,10,0
Oct,6,40,0
Oct,6,70,0
Oct,6,100,35
Oct,6,130,37
Oct,7,10,0
Oct,7,40,0
Oct,7,70,0
Oct,7,100,0
Oct,7,130,25
Oct,8,10,0
Oct,8,40,0
Oct,8,70,0
Oct,8,100,6
Oct,8,130,31
Oct,9,10,0
Oct,9,40,0
Oct,9,70,3
Oct,9,100,11
Oct,9,130,14
Oct,10,10,0
Oct,10,40,0
Oct,10,70,0
Oct,10,100,35
Oct,10,130,31
Oct,11,10,0
Oct,11,40,0
Oct,11,70,5
Oct,11,100,31
Oct,11,130,24
Oct,12,10,0
Oct,12,40,0
Oct,12,70,0
Oct,12,100,8
Oct,12,130,14
Oct,13,10,0
Oct,13,40,0
Oct,13,70,0
Oct,13,100,0
Oct,13,130,13
Oct,14,10,0
Oct,14,40,0
Oct,14,70,0
Oct,14,100,7
Oct,14,130,47
Oct,15,10,0
Oct,15,40,0
Oct,15,70,0
Oct,15,100,7
Oct,15,130,14
Oct,16,10,0
Oct,16,40,0
Oct,16,70,0
Oct,16,100,0
Oct,16,130,8
Oct,17,10,0
Oct,17,40,0
Oct,17,70,0
Oct,17,100,4
Oct,17,130,12
Oct,18,10,0
Oct,18,40,0
Oct,18,70,0
Oct,18,100,0
Oct,18,130,9
Oct,19,10,0
Oct,19,40,0
Oct,19,70,0
Oct,19,100,0
Oct,19,130,18
Oct,20,10,0
Oct,20,40,0
Oct,20,70,0
Oct,20,100,0
Oct,20,130,18
Oct,21,10,0
Oct,21,40,0
Oct,21,70,0
Oct,21,100,0
Oct,21,130,12
Oct,22,10,0
Oct,22,40,0
Oct,22,70,0
Oct,22,100,11
Oct,22,130,23
Oct,23,10,0
Oct,23,40,0
Oct,23,70,0
Oct,23,100,1
Oct,23,130,33
Oct,24,10,0
Oct,24,40,0
Oct,24,70,3
Oct,24,100,2
Oct,24,130,14
Oct,25,10,0
Oct,25,40,0
Oct,25,70,0
Oct,25,100,0
Oct,25,130,15
Oct,26,10,0
Oct,26,40,0
Oct,26,70,0
Oct,26,100,1
Oct,26,130,33
Oct,27,10,0
Oct,27,40,0
Oct,27,70,0
Oct,27,100,3
Oct,27,130,12
Oct,28,10,0
Oct,28,40,0
Oct,28,70,0
Oct,28,100,1
Oct,28,130,28
Oct,29,10,0
Oct,29,40,0
Oct,29,70,0
Oct,29,100,0
Oct,29,130,16
Oct,30,10,0
Oct,30,40,0
Oct,30,70,0
Oct,30,100,0
Oct,30,130,13
Oct,31,10,0
Oct,31,40,0
Oct,31,70,0
Oct,31,100,0
Oct,31,130,18
Oct,32,10,0
Oct,32,40,0
Oct,32,70,0
Oct,32,100,0
Oct,32,130,11
Oct,33,10,0
Oct,33,40,0
Oct,33,70,0
Oct,33,100,8
Oct,33,130,26
Oct,34,10,0
Oct,34,40,0
Oct,34,70,0
Oct,34,100,0
Oct,34,130,19
Oct,35,10,0
Oct,35,40,0
Oct,35,70,0
Oct,35,100,17
Oct,35,130,12
Oct,36,10,0
Oct,36,40,0
Oct,36,70,0
Oct,36,100,0
Oct,36,130,6
Oct,37,10,0
Oct,37,40,0
Oct,37,70,0
Oct,37,100,5
Oct,37,130,15
Oct,38,10,0
Oct,38,40,0
Oct,38,70,0
Oct,38,100,0
Oct,38,130,14
Oct,39,10,0
Oct,39,40,0
Oct,39,70,2
Oct,39,100,1
Oct,39,130,6
Oct,40,10,0
Oct,40,40,0
Oct,40,70,0
Oct,40,100,0
Oct,40,130,17
Nov,1,10,0
Nov,1,40,0
Nov,1,70,6
Nov,1,100,1
Nov,1,130,17
Nov,2,10,0
Nov,2,40,8
Nov,2,70,4
Nov,2,100,21
Nov,2,130,8
Nov,3,10,0
Nov,3,40,2
Nov,3,70,2
Nov,3,100,5
Nov,3,130,20
Nov,4,10,1
Nov,4,40,6
Nov,4,70,7
Nov,4,100,11
Nov,4,130,18
Nov,5,10,0
Nov,5,40,4
Nov,5,70,15
Nov,5,100,10
Nov,5,130,26
Nov,6,10,0
Nov,6,40,0
Nov,6,70,0
Nov,6,100,8
Nov,6,130,19
Nov,7,10,0
Nov,7,40,5
Nov,7,70,6
Nov,7,100,8
Nov,7,130,18
Nov,8,10,1
Nov,8,40,1
Nov,8,70,2
Nov,8,100,0
Nov,8,130,16
Nov,9,10,1
Nov,9,40,1
Nov,9,70,1
Nov,9,100,2
Nov,9,130,3
Nov,10,10,0
Nov,10,40,4
Nov,10,70,4
Nov,10,100,5
Nov,10,130,6
Nov,11,10,0
Nov,11,40,2
Nov,11,70,3
Nov,11,100,20
Nov,11,130,14
Nov,12,10,0
Nov,12,40,2
Nov,12,70,2
Nov,12,100,11
Nov,12,130,20
Nov,13,10,3
Nov,13,40,1
Nov,13,70,3
Nov,13,100,9
Nov,13,130,5
Nov,14,10,1
Nov,14,40,10
Nov,14,70,3
Nov,14,100,23
Nov,14,130,3
Nov,15,10,3
Nov,15,40,3
Nov,15,70,11
Nov,15,100,2
Nov,15,130,5
Nov,16,10,2
Nov,16,40,4
Nov,16,70,0
Nov,16,100,1
Nov,16,130,12
Nov,17,10,1
Nov,17,40,3
Nov,17,70,11
Nov,17,100,10
Nov,17,130,15
Nov,18,10,1
Nov,18,40,5
Nov,18,70,4
Nov,18,100,4
Nov,18,130,9
Nov,19,10,0
Nov,19,40,7
Nov,19,70,8
Nov,19,100,8
Nov,19,130,14
Nov,20,10,0
Nov,20,40,4
Nov,20,70,5
Nov,20,100,18
Nov,20,130,14
Nov,21,10,11
Nov,21,40,1
Nov,21,70,0
Nov,21,100,11
Nov,21,130,7
Nov,22,10,1
Nov,22,40,6
Nov,22,70,4
Nov,22,100,24
Nov,22,130,5
Nov,23,10,2
Nov,23,40,5
Nov,23,70,10
Nov,23,100,18
Nov,23,130,9
Nov,24,10,0
Nov,24,40,2
Nov,24,70,12
Nov,24,100,31
Nov,24,130,0
Nov,25,10,2
Nov,25,40,3
Nov,25,70,4
Nov,25,100,13
Nov,25,130,13
Nov,26,10,2
Nov,26,40,5
Nov,26,70,4
Nov,26,100,30
Nov,26,130,21
Nov,27,10,1
Nov,27,40,2
Nov,27,70,1
Nov,27,100,19
Nov,27,130,8
Nov,28,10,2
Nov,28,40,3
Nov,28,70,5
Nov,28,100,27
Nov,28,130,19
Nov,29,10,1
Nov,29,40,4
Nov,29,70,2
Nov,29,100,25
Nov,29,130,17
Nov,30,10,2
Nov,30,40,4
Nov,30,70,1
Nov,30,100,25
Nov,30,130,24
Nov,31,10,2
Nov,31,40,4
Nov,31,70,5
Nov,31,100,11
Nov,31,130,19
Nov,32,10,1
Nov,32,40,1
Nov,32,70,5
Nov,32,100,31
Nov,32,130,18
Nov,33,10,0
Nov,33,40,5
Nov,33,70,4
Nov,33,100,13
Nov,33,130,21
Nov,34,10,0
Nov,34,40,2
Nov,34,70,5
Nov,34,100,7
Nov,34,130,27
Nov,35,10,1
Nov,35,40,2
Nov,35,70,1
Nov,35,100,7
Nov,35,130,21
Nov,36,10,0
Nov,36,40,2
Nov,36,70,3
Nov,36,100,11
Nov,36,130,21
Nov,37,10,0
Nov,37,40,5
Nov,37,70,2
Nov,37,100,6
Nov,37,130,19
Nov,38,10,0
Nov,38,40,0
Nov,38,70,3
Nov,38,100,3
Nov,38,130,4
Nov,39,10,0
Nov,39,40,4
Nov,39,70,0
Nov,39,100,13
Nov,39,130,25
Nov,40,10,0
Nov,40,40,1
Nov,40,70,2
Nov,40,100,11
Nov,40,130,31
Dec,1,10,0
Dec,1,40,2
Dec,1,70,4
Dec,1,100,1
Dec,1,130,0
Dec,2,10,0
Dec,2,40,2
Dec,2,70,5
Dec,2,100,5
Dec,2,130,3
Dec,3,10,0
Dec,3,40,0
Dec,3,70,2
Dec,3,100,9
Dec,3,130,4
Dec,4,10,0
Dec,4,40,0
Dec,4,70,3
Dec,4,100,7
Dec,4,130,4
Dec,5,10,0
Dec,5,40,1
Dec,5,70,0
Dec,5,100,5
Dec,5,130,0
Dec,6,10,0
Dec,6,40,0
Dec,6,70,0
Dec,6,100,6
Dec,6,130,1
Dec,7,10,0
Dec,7,40,0
Dec,7,70,2
Dec,7,100,5
Dec,7,130,1
Dec,8,10,0
Dec,8,40,1
Dec,8,70,3
Dec,8,100,7
Dec,8,130,1
Dec,9,10,1
Dec,9,40,1
Dec,9,70,1
Dec,9,100,7
Dec,9,130,2
Dec,10,10,0
Dec,10,40,3
Dec,10,70,2
Dec,10,100,2
Dec,10,130,2
Dec,11,10,0
Dec,11,40,0
Dec,11,70,0
Dec,11,100,9
Dec,11,130,6
Dec,12,10,1
Dec,12,40,3
Dec,12,70,1
Dec,12,100,5
Dec,12,130,2
Dec,13,10,1
Dec,13,40,1
Dec,13,70,1
Dec,13,100,1
Dec,13,130,0
Dec,14,10,0
Dec,14,40,0
Dec,14,70,3
Dec,14,100,0
Dec,14,130,1
Dec,15,10,0
Dec,15,40,2
Dec,15,70,3
Dec,15,100,7
Dec,15,130,4
Dec,16,10,2
Dec,16,40,0
Dec,16,70,1
Dec,16,100,3
Dec,16,130,1
Dec,17,10,0
Dec,17,40,0
Dec,17,70,0
Dec,17,100,7
Dec,17,130,1
Dec,18,10,1
Dec,18,40,0
Dec,18,70,0
Dec,18,100,2
Dec,18,130,0
Dec,19,10,3
Dec,19,40,0
Dec,19,70,3
Dec,19,100,5
Dec,19,130,5
Dec,20,10,0
Dec,20,40,1
Dec,20,70,0
Dec,20,100,0
Dec,20,130,0
Dec,21,10,0
Dec,21,40,2
Dec,21,70,1
Dec,21,100,3
Dec,21,130,4
Dec,22,10,1
Dec,22,40,0
Dec,22,70,1
Dec,22,100,7
Dec,22,130,4
Dec,23,10,0
Dec,23,40,0
Dec,23,70,3
Dec,23,100,8
Dec,23,130,4
Dec,24,10,0
Dec,24,40,0
Dec,24,70,0
Dec,24,100,8
Dec,24,130,0
Dec,25,10,1
Dec,25,40,0
Dec,25,70,0
Dec,25,100,12
Dec,25,130,1
Dec,26,10,0
Dec,26,40,0
Dec,26,70,3
Dec,26,100,2
Dec,26,130,3
Dec,27,10,0
Dec,27,40,0
Dec,27,70,2
Dec,27,100,5
Dec,27,130,6
Dec,28,10,0
Dec,28,40,0
Dec,28,70,0
Dec,28,100,3
Dec,28,130,3
Dec,29,10,0
Dec,29,40,0
Dec,29,70,1
Dec,29,100,6
Dec,29,130,4
Dec,30,10,3
Dec,30,40,0
Dec,30,70,2
Dec,30,100,10
Dec,30,130,1
Dec,31,10,0
Dec,31,40,1
Dec,31,70,2
Dec,31,100,10
Dec,31,130,2
Dec,32,10,0
Dec,32,40,1
Dec,32,70,2
Dec,32,100,10
Dec,32,130,2
Dec,33,10,0
Dec,33,40,0
Dec,33,70,2
Dec,33,100,5
Dec,33,130,2
Dec,34,10,0
Dec,34,40,1
Dec,34,70,0
Dec,34,100,3
Dec,34,130,1
Dec,35,10,0
Dec,35,40,0
Dec,35,70,2
Dec,35,100,16
Dec,35,130,7
Dec,36,10,0
Dec,36,40,1
Dec,36,70,1
Dec,36,100,5
Dec,36,130,3
Dec,37,10,0
Dec,37,40,1
Dec,37,70,1
Dec,37,100,8
Dec,37,130,5
Dec,38,10,0
Dec,38,40,1
Dec,38,70,2
Dec,38,100,10
Dec,38,130,2
Dec,39,10,0
Dec,39,40,2
Dec,39,70,3
Dec,39,100,3
Dec,39,130,6
Dec,40,10,0
Dec,40,40,1
Dec,40,70,3
Dec,40,100,9
Dec,40,130,6