Date,St,OC,OM,Sand,Silt,Clay
Apr18,MN,0.4569,0.7878,94.4551,4.0758,1.4691
Apr18,MN,0.4911,0.8467,94.0955,4.0317,1.8728
Apr18,MN,0.4920,0.8483,94.2894,4.0424,1.6682
Apr18,MR,0.6266,1.0803,77.5842,14.0311,8.3847
Apr18,MR,0.6780,1.1690,78.5285,14.9379,6.5336
Apr18,MR,0.6454,1.1128,79.4171,15.4309,5.1520
Apr18,TK,0.7070,1.2190,66.0397,22.8651,11.0952
Apr18,TK,0.7191,1.2398,67.4318,23.0950,9.4732
Apr18,TK,0.7039,1.2136,68.1886,23.2199,8.5915
Apr18,KK,0.7361,1.2691,61.6722,28.4762,9.8516
Apr18,KK,0.7497,1.2926,63.1793,29.4596,7.3611
Apr18,KK,0.7641,1.3174,63.9985,29.9942,6.0073
Dec18,MN,0.5140,0.8862,95.3260,2.6960,1.9780
Dec18,MN,0.5100,0.8793,95.8497,3.2197,0.9306
Dec18,MN,0.5060,0.8724,96.1343,3.5043,0.3614
Dec18,MR,0.8907,1.5357,80.7055,13.7603,5.5342
Dec18,MR,0.9122,1.5728,82.0082,12.0489,5.9429
Dec18,MR,0.8971,1.5467,82.7164,14.6907,2.5929
Dec18,TK,0.5975,1.0302,66.6169,23.8322,9.5509
Dec18,TK,0.5994,1.0334,67.2810,25.3393,7.3797
Dec18,TK,0.6331,1.0916,67.6421,26.1585,6.1994
Dec18,KK,0.8199,1.4136,59.9349,28.9523,11.1128
Dec18,KK,0.7313,1.2609,60.1060,28.6927,11.2013
Dec18,KK,0.9688,1.6703,60.1991,28.2150,11.5859
Feb19,MN,0.2738,0.4721,92.3553,5.2385,2.4062
Feb19,MN,0.3460,0.5966,92.7279,5.5233,1.7488
Feb19,MN,0.2801,0.4829,92.5967,5.6782,1.7251
Feb19,MR,0.5588,0.9634,77.6872,15.1920,7.1208
Feb19,MR,0.4627,0.7978,79.1176,13.8120,7.0704
Feb19,MR,0.4485,0.7733,79.8952,14.7060,5.3988
Feb19,TK,0.3916,0.6752,65.1594,26.3410,8.4996
Feb19,TK,0.3320,0.5724,65.3004,26.2030,8.4966
Feb19,TK,0.3564,0.6145,64.9002,26.4160,8.6838
Feb19,KK,1.0685,1.8422,64.3586,28.2622,7.3792
Feb19,KK,1.2639,2.1791,62.5646,28.4844,8.9510
Feb19,KK,1.5076,2.5993,63.7268,27.8535,8.4197
Apr19,MN,0.6601,1.1381,95.3501,3.4900,1.1599
Apr19,MN,0.7912,1.3641,95.5866,3.4275,0.9859
Apr19,MN,0.6188,1.0669,95.5033,3.3125,1.1842
Apr19,MR,0.9301,1.6036,82.8795,11.6840,5.4365
Apr19,MR,1.1276,1.9441,82.7392,12.4130,4.8478
Apr19,MR,0.8823,1.5212,82.4813,10.3430,7.1757
Apr19,TK,1.3590,2.3431,69.1856,23.3395,7.4749
Apr19,TK,1.2121,2.0898,69.8395,23.2618,6.8987
Apr19,TK,1.0590,1.8259,70.1950,23.1187,6.6863
Apr19,KK,1.9007,3.2771,64.0574,24.0872,11.8554
Apr19,KK,1.9072,3.2883,63.4827,24.1844,12.3329
Apr19,KK,1.5922,2.7452,64.3699,23.9084,11.7217
Jun19,MN,0.8311,1.4329,91.4601,4.9446,3.5953
Jun19,MN,0.6811,1.1743,93.0984,4.8863,2.0153
Jun19,MN,0.7078,1.2203,92.5215,4.7790,2.6995
Jun19,MR,0.9579,1.6516,80.1209,15.2962,4.5829
Jun19,MR,1.0455,1.8026,80.0302,15.1050,4.8648
Jun19,MR,1.1765,2.0284,80.0889,15.2288,4.6823
Jun19,TK,1.2134,2.0921,67.5068,24.3829,8.1103
Jun19,TK,1.5948,2.7497,68.6192,24.2947,7.0861
Jun19,TK,1.1518,1.9859,69.2240,24.1325,6.6435
Jun19,KK,1.8751,3.2329,61.7054,26.5841,11.7105
Jun19,KK,2.1821,3.7622,60.5619,27.1775,12.2606
Jun19,KK,1.7629,3.0395,61.3027,26.9685,11.7288
Aug19,MN,0.8372,1.4434,95.0808,4.6311,0.2881
Aug19,MN,0.8582,1.4797,94.7989,4.5755,0.6256
Aug19,MN,0.9146,1.5769,94.2803,4.4734,1.2463
Aug19,MR,0.9445,1.6284,79.3317,13.3760,7.2923
Aug19,MR,1.3005,2.2422,78.3343,13.1630,8.5027
Aug19,MR,1.2951,2.2329,79.8740,13.3010,6.8250
Aug19,TK,1.4491,2.4984,68.4682,25.8133,5.7185
Aug19,TK,1.3000,2.2414,68.9421,25.9627,5.0952
Aug19,TK,1.0908,1.8807,69.1997,26.0440,4.7563
Aug19,KK,1.6256,2.8028,60.3001,28.5906,11.1093
Aug19,KK,1.8412,3.1745,60.0891,28.7196,11.1913
Aug19,KK,2.1432,3.6952,59.7008,28.7897,11.5095