Date,Station,OC,OM,Sand,Silt,Clay
Apr18,MN,0.48,0.83,94.28,4.05,1.67
Apr18,MR,0.65,1.12,77.32,14.8,7.88
Apr18,TK,0.71,1.22,67.22,23.06,9.72
Apr18,KK,0.75,1.29,62.95,29.31,7.74
Dec18,MN,0.51,0.87,95.77,3.14,1.09
Dec18,MR,0.9,1.56,81.81,13.5,4.69
Dec18,TK,0.61,1.06,67.18,25.11,7.71
Dec18,KK,0.84,1.44,60.08,28.62,11.3
Feb19,MN,0.3,0.52,92.56,5.48,1.96
Feb19,MR,0.49,0.84,78.9,14.57,6.53
Feb19,TK,0.36,0.62,65.12,26.32,8.56
Feb19,KK,1.28,2.2,63.55,28.2,8.25
Apr19,MN,0.69,1.19,95.48,3.41,1.11
Apr19,MR,0.98,1.69,82.7,11.48,5.82
Apr19,TK,1.21,2.08,69.74,23.24,7.02
Apr19,KK,1.8,3.1,63.97,24.06,11.97
Jun19,MN,0.74,1.28,92.36,4.87,2.77
Jun19,MR,1.06,1.83,80.08,15.21,4.71
Jun19,TK,1.32,2.28,68.45,24.27,7.28
Jun19,KK,1.94,3.35,61.19,26.91,11.9
Aug19,MN,0.87,1.50,94.72,4.56,0.72
Aug19,MR,1.18,2.04,79.18,13.28,9.54
Aug19,TK,1.28,2.21,68.87,25.94,5.2
Aug19,KK,1.87,3.23,60.03,28.70,11.27