Time,Date,St,Rep,Depth,pH,Temp,Salinity,DO
1,Apr18,KK,1,1.8,8.5,31,26,5.45
1,Apr18,KK,2,1.9,8.07,30,26,5.55
1,Apr18,KK,3,1.8,8.07,30,26,5.35
1,Apr18,MN,1,4.3,7.98,31,26,5.45
1,Apr18,MN,2,5.2,8,30,26,5.55
1,Apr18,MN,3,4.4,8.1,30,26,5.35
1,Apr18,MR,1,5.8,7.7,30,26,5.45
1,Apr18,MR,2,5.8,7.6,30,26,5.55
1,Apr18,MR,3,5.8,7.7,31,26,5.35
1,Apr18,TK,1,4.8,8,31,26,5.45
1,Apr18,TK,2,4.5,8,31,26,5.55
1,Apr18,TK,3,4.4,7.9,31,26,5.35
2,Dec18,KK,1,5.3,7.9,31,30,5.93
2,Dec18,KK,2,5.6,7.9,30,30,5.96
2,Dec18,KK,3,5.2,7.9,30,30,5.94
2,Dec18,MN,1,7.1,7.4,31,30,5.84
2,Dec18,MN,2,7.9,7.8,30,30,5.75
2,Dec18,MN,3,7.1,7.89,30,30,5.78
2,Dec18,MR,1,6.9,7.9,30,30,5.78
2,Dec18,MR,2,7.1,7.93,30,30,5.85
2,Dec18,MR,3,6.9,7.9,31,30,5.87
2,Dec18,TK,1,5.3,7.96,31,30,6.23
2,Dec18,TK,2,5.2,7.98,31,30,6.13
2,Dec18,TK,3,5.2,7.96,31,30,6.15
3,Feb19,KK,1,5.7,7,30,26,5.7
3,Feb19,KK,2,5.2,7,30,26,5.7
3,Feb19,KK,3,5.2,7,30,26,5.8
3,Feb19,MN,1,6.5,6.8,28,28,5
3,Feb19,MN,2,6.4,7.09,30,26,5.44
3,Feb19,MN,3,6.5,7.23,30,27,5.5
3,Feb19,MR,1,5.6,7,30,26,5
3,Feb19,MR,2,5.6,6.9,30,27,5
3,Feb19,MR,3,5.6,6.8,30,26,5.2
3,Feb19,TK,1,4.5,7,30,27,5.8
3,Feb19,TK,2,4.8,7,30,27,5.6
3,Feb19,TK,3,4.6,7,30,27,5.8
4,Apr19,KK,1,5,7.1,34,24,7.25
4,Apr19,KK,2,5,7.2,34,25,7.15
4,Apr19,KK,3,5.1,7.3,34,25,7.13
4,Apr19,MN,1,5.5,6.7,33.3,27,7.46
4,Apr19,MN,2,5.4,6.7,33.2,25,7.47
4,Apr19,MN,3,5.4,6.8,33.3,25,7.51
4,Apr19,MR,1,4.9,6.7,33.2,24,7.7
4,Apr19,MR,2,4.8,6.8,31.1,24,7.5
4,Apr19,MR,3,4.7,6.8,33.2,25,7.46
4,Apr19,TK,1,4.2,6.9,33.9,24,7.45
4,Apr19,TK,2,4.2,7.3,33.9,24,7.08
4,Apr19,TK,3,4.3,7.3,33.9,24,6.98
5,Jun19,KK,1,6.2,7.3,31.4,25,6.36
5,Jun19,KK,2,5.4,7.3,31.4,25,6.36
5,Jun19,KK,3,5.3,7.3,31.4,25,6.37
5,Jun19,MN,1,5.1,7.2,30.9,21,6.68
5,Jun19,MN,2,5,7.2,30.9,22,6.67
5,Jun19,MN,3,5.3,7.1,30.8,22,6.68
5,Jun19,MR,1,5.3,7.3,30.9,22,6.63
5,Jun19,MR,2,5.5,7.2,30.9,23,6.62
5,Jun19,MR,3,5.2,7.3,30.9,23,6.64
5,Jun19,TK,1,4.5,7.3,31.5,23,6.64
5,Jun19,TK,2,4.5,7.3,31.5,23,6.62
5,Jun19,TK,3,4.5,7.2,31.5,23,6.63
6,Aug19,KK,1,5.4,8.4,29.3,18,5.41
6,Aug19,KK,2,5.4,8.41,29.3,18,5.4
6,Aug19,KK,3,5.4,8.39,29.3,18,5.4
6,Aug19,MN,1,5.6,7.98,29.2,14,6
6,Aug19,MN,2,5.7,8.03,29.2,14,5.99
6,Aug19,MN,3,5.7,8.07,29.3,14,6
6,Aug19,MR,1,5.3,13,29.4,13,5.4
6,Aug19,MR,2,5.5,15,29.4,15,5.53
6,Aug19,MR,3,5.4,15,29.4,15,5.5
6,Aug19,TK,1,4.8,8.13,29.3,19,5.39
6,Aug19,TK,2,4.9,8.17,29.3,19,5.4
6,Aug19,TK,3,4.8,8.17,29.3,19,5.4