No,V110,V111,V112,V113,V115,V116,V117,V222,V223,V224,V225,V2261,V2262,V228,V331,V332,V333,V334,V335
1,60,1,1,2,NA,NA,3,15,30,2,3,NA,15,4,3,4,4,4,4
2,49,1,1,4,5000,3000,2,30,20,1,4,2,5,3,5,5,5,1,5
3,47,1,1,4,1000,2000,2,10,30,2,3,NA,NA,1,5,5,4,5,4
4,76,1,1,6,2500,2000,2,10,20,2,3,NA,3,6,5,5,4,5,4
5,44,1,1,2,2000,3000,3,10,15,1,4,NA,1.5,1,5,5,5,1,5
6,40,2,1,2,NA,NA,2,20,25,2,2,NA,3,2,5,5,5,1,5
7,59,2,1,2,10000,10000,3,40,50,2,5,,6,5,4,4,3,3,4
8,25,1,1,NA,NA,1000,2,10,NA,2,1,NA,1,3,4,3,4,3,4
9,59,1,1,1,9000,NA,2,NA,NA,3,NA,NA,NA,NA,4,5,5,1,5
10,48,2,1,2,NA,NA,2,35,NA,2,2,NA,5,4,5,4,5,1,5
11,49,2,1,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,4,4,1,4
12,35,2,1,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,5,5,5,5
13,38,2,1,NA,NA,15000,3,20,NA,2,NA,NA,30,5,5,5,5,1,5
14,48,1,1,4,,15000,2,15,NA,1,NA,NA,2,6,5,5,5,4,5
15,59,2,1,NA,NA,NA,2,10,30,1,3,NA,2,4,5,5,5,1,5
16,33,2,1,3,NA,15000,3,10,30,2,10,NA,25,5,5,5,5,1,5
17,47,2,1,2,NA,15000,3,15,30,2,NA,10,25,4,5,5,5,1,5
18,49,2,1,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,4,5,1,4
19,43,2,1,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,5
20,31,2,1,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,4,4,1,4
21,38,2,1,7,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,5
22,25,2,1,6,500,,2,4,5,2,2,1,,1,5,5,5,1,5
23,39,2,1,7,3500,400,3,5,15,2,3,1,3,1,5,5,4,1,4
24,39,2,1,NA,NA,NA,2,NA,20,NA,NA,NA,NA,4,5,5,5,1,5
25,60,2,1,2,10000,10000,2,10,30,1,3,,3,4,5,5,5,1,5
26,18,1,1,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,5
27,58,2,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,5
28,23,2,1,7,2000,3500,2,3,12,2,3,1,2,1,3,3,3,4,4
29,35,2,1,7,2000,1000,2,1,30,2,2,1,3,3,4,4,4,4,4
30,60,2,1,2,10000,10000,2,8,30,1,3,0,2,4,5,5,5,1,5
31,34,2,1,2,10000,10000,2,8,50,1,4,NA,2,5,5,5,5,1,5
32,45,1,1,7,3000,1500,3,20,30,2,10,2,5,2,5,5,5,5,5
33,40,2,1,2,NA,NA,3,20,NA,1,10,NA,NA,4,2,4,3,1,4
34,27,2,1,6,3000,1500,3,20,30,2,10,2,5,2,5,5,5,5,5
35,19,1,1,4,NA,NA,3,10,10,2,2,NA,10,6,5,5,5,NA,5
36,40,2,1,7,3000,1700,2,2,30,2,10,2,10,NA,NA,NA,NA,NA,NA
37,NA,1,1,2,30000,20000,3,10,70,2,5,NA,5,5,5,5,5,5,5
38,34,2,1,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,4,5,1,5
39,24,2,1,7,3000,1700,2,2,30,2,10,3,10,NA,5,5,5,5,5
40,40,2,1,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,5,4,1,5
41,58,2,1,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,4,5,1,5
42,51,2,1,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,5
43,58,2,1,1,NA,NA,2,NA,NA,2,NA,NA,NA,NA,3,2,NA,2,NA
44,56,2,1,2,30000,NA,2,NA,NA,3,NA,NA,NA,NA,3,4,4,1,4
45,52,2,1,2,500,5000,2,15,45,1,4,NA,5,3,5,5,5,NA,5
46,52,2,1,4,7000,3000,2,45,60,1,5,NA,6,5,5,4,5,1,5
47,57,1,1,2,NA,NA,2,3,NA,1,5,NA,2,NA,5,5,5,1,5
48,29,1,1,4,12000,3000,2,6,10,2,2,NA,3,2,4,4,4,1,4
49,51,2,1,NA,10000,10000,3,5,200,2,10,1,10,5,5,5,5,1,5
50,41,2,1,4,NA,NA,2,10,10,2,2,1,10,2,4,4,3,1,4
51,43,2,1,7,3000,2000,3,2,20,2,2,1,3,3,4,4,4,4,4
52,65,1,1,2,3000,NA,2,20,NA,1,10,NA,1,3,3,4,2,1,5
53,62,2,1,2,6000,NA,2,NA,NA,1,NA,NA,NA,NA,1,1,4,4,4
54,53,1,1,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,5
55,46,1,1,2,8000,NA,3,NA,NA,3,NA,NA,NA,NA,3,3,3,1,4
56,52,1,1,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,5
57,41,2,1,4,NA,NA,2,NA,NA,,NA,2,NA,NA,5,4,4,2,1
58,41,2,1,7,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,5
59,45,1,1,3,7000,6000,2,5,30,1,NA,NA,NA,1,5,5,5,5,5
60,49,2,1,2,NA,5000,2,15,30,1,4,NA,4,3,4,4,4,NA,4
61,24,2,1,4,NA,NA,3,3,,3,,NA,NA,NA,4,4,3,2,4
62,76,1,1,2,NA,4000,3,,,2,,NA,NA,6,5,5,4,4,5
63,41,1,1,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,4,5,1,3
64,52,2,1,7,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,4,4,1,4
65,NA,1,,,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,4,5,1,4
66,25,2,1,6,NA,NA,3,NA,NA,3,NA,NA,NA,NA,5,5,5,1,5