Community,Season,Station,Rep,C_lin,C_lon
SA1,Summer,A,1,0,0
SA2,Summer,A,2,0,0
SA3,Summer,A,3,0,0
SA4,Summer,A,4,0,0
SA5,Summer,A,5,0,0
SB1,Summer,B,1,0,2
SB2,Summer,B,2,0,1
SB3,Summer,B,3,0,0
SB4,Summer,B,4,0,0
SB5,Summer,B,5,0,0
SC1,Summer,C,1,0,2
SC2,Summer,C,2,0,1
SC3,Summer,C,3,1,2
SC4,Summer,C,4,1,3
SC5,Summer,C,5,0,0
SD1,Summer,D,1,0,3
SD2,Summer,D,2,1,3
SD3,Summer,D,3,0,2
SD4,Summer,D,4,2,3
SD5,Summer,D,5,1,1
SE1,Summer,E,1,1,3
SE2,Summer,E,2,0,2
SE3,Summer,E,3,0,1
SE4,Summer,E,4,0,1
SE5,Summer,E,5,0,1
SF1,Summer,F,1,0,2
SF2,Summer,F,2,0,2
SF3,Summer,F,3,0,0
SF4,Summer,F,4,0,1
SF5,Summer,F,5,0,1
SG1,Summer,G,1,0,2
SG2,Summer,G,2,0,1
SG3,Summer,G,3,0,1
SG4,Summer,G,4,0,0
SG5,Summer,G,5,0,0
SH1,Summer,H,1,0,0
SH2,Summer,H,2,0,0
SH3,Summer,H,3,0,0
SH4,Summer,H,4,0,0
SH5,Summer,H,5,0,0
SI1,Summer,I,1,0,0
SI2,Summer,I,2,0,0
SI3,Summer,I,3,0,0
SI4,Summer,I,4,0,0
SI5,Summer,I,5,0,0
RA1,Rainy,A,1,0,0
RA2,Rainy,A,2,0,0
RA3,Rainy,A,3,0,0
RA4,Rainy,A,4,0,0
RA5,Rainy,A,5,0,0
RB1,Rainy,B,1,0,0
RB2,Rainy,B,2,0,0
RB3,Rainy,B,3,0,0
RB4,Rainy,B,4,0,0
RB5,Rainy,B,5,0,0
RC1,Rainy,C,1,0,1
RC2,Rainy,C,2,0,0
RC3,Rainy,C,3,0,1
RC4,Rainy,C,4,1,3
RC5,Rainy,C,5,0,2
RD1,Rainy,D,1,0,4
RD2,Rainy,D,2,1,1
RD3,Rainy,D,3,0,2
RD4,Rainy,D,4,0,3
RD5,Rainy,D,5,1,1
RE1,Rainy,E,1,1,2
RE2,Rainy,E,2,0,3
RE3,Rainy,E,3,0,2
RE4,Rainy,E,4,0,0
RE5,Rainy,E,5,0,1
RF1,Rainy,F,1,0,2
RF2,Rainy,F,2,0,2
RF3,Rainy,F,3,0,0
RF4,Rainy,F,4,0,1
RF5,Rainy,F,5,0,0
RG1,Rainy,G,1,0,2
RG2,Rainy,G,2,0,1
RG3,Rainy,G,3,0,0
RG4,Rainy,G,4,0,0
RG5,Rainy,G,5,0,0
RH1,Rainy,H,1,0,0
RH2,Rainy,H,2,0,0
RH3,Rainy,H,3,0,0
RH4,Rainy,H,4,0,0
RH5,Rainy,H,5,0,0
RI1,Rainy,I,1,0,0
RI2,Rainy,I,2,0,0
RI3,Rainy,I,3,0,0
RI4,Rainy,I,4,0,0
RI5,Rainy,I,5,0,0
WA1,Winter,A,1,0,0
WA2,Winter,A,2,0,0
WA3,Winter,A,3,0,0
WA4,Winter,A,4,0,0
WA5,Winter,A,5,0,0
WB1,Winter,B,1,0,2
WB2,Winter,B,2,0,1
WB3,Winter,B,3,0,0
WB4,Winter,B,4,0,0
WB5,Winter,B,5,0,0
WC1,Winter,C,1,0,1
WC2,Winter,C,2,0,2
WC3,Winter,C,3,0,2
WC4,Winter,C,4,0,1
WC5,Winter,C,5,0,0
WD1,Winter,D,1,0,3
WD2,Winter,D,2,0,2
WD3,Winter,D,3,0,2
WD4,Winter,D,4,0,0
WD5,Winter,D,5,0,0
WE1,Winter,E,1,0,4
WE2,Winter,E,2,0,3
WE3,Winter,E,3,0,3
WE4,Winter,E,4,0,2
WE5,Winter,E,5,0,1
WF1,Winter,F,1,0,2
WF2,Winter,F,2,0,1
WF3,Winter,F,3,0,2
WF4,Winter,F,4,0,0
WF5,Winter,F,5,0,0
WG1,Winter,G,1,0,2
WG2,Winter,G,2,0,1
WG3,Winter,G,3,0,0
WG4,Winter,G,4,0,0
WG5,Winter,G,5,0,0
WH1,Winter,H,1,0,3
WH2,Winter,H,2,0,0
WH3,Winter,H,3,0,0
WH4,Winter,H,4,0,0
WH5,Winter,H,5,0,0
WI1,Winter,I,1,0,0
WI2,Winter,I,2,0,0
WI3,Winter,I,3,0,0
WI4,Winter,I,4,0,0
WI5,Winter,I,5,0,0