No,V001,V102,V13,V14,V15,V1061,V1062,V1063,V1064,V1065,V107,V1081,V1082,V1091,V1092,V1093,V1094,V1095,V1096,V1097,V11101,V11102,V1103,V1104,V1105,V1106,V1107,V1108,V1109,V11111,V11112,V11113,V11114,V11121,V11122,V11123,V11124,V11131,V11132,V11133,V11134,V11141,V11142,V11143,V11144,V11151,V11152,V11153,V11154,V11161,V11162,V11163,V11164,V11171,V11172,V11173,V111774,V11181,V11182,V11183,V11184,V11191,V11192,V11193,V11194,V11201,V11202,V11203,V11204,V112,V113,V201,V202,V203,V204,V2051,V2052,V2053,V2054,V2055,V2056,V2057,V2061,V2062,V2063,V2064,V2065,V2066,V2067,V2068,V2069,V20610,V20611,V2071,V2072,V2073,V2074,V2075,V2076,V2077,V2078,V2079,V20710,V30111,V30112,V30113,V30121,V30122,V30123,V30131,V302,V303,V304,V401,V402,V403,V4041,V4042,V4043,V4044,V4045
B19,MN,35,1,2,1,20,20,,,,1,2,2,1,,,,,1,7,1,,1,,,,,,,1,12,180,,1,12,365,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,4,4,4,3,,,,,,4,4,2,5,4,4,5,2,2,4,,,,,,,1,,1,1,1,,,,,,1,
B21,MN,48,1,1,1,40,40,,,,1,1,,1,,,,,1,6,1,,1,,,,,1,,1,12,365,,1,12,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,1,5,5,5,5,3,3,3,,,,,,,1,,1,1,1,,,,,,1,
B22,MN,58,2,1,2,30,30,,,,1,1,,1,,,,,1,7,,,,,,,,,,,,,,1,5,240,,1,5,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,1,5,5,5,5,3,3,3,,,,,,,1,,1,1,1,,,,,,1,
B23,MN,62,1,1,2,30,30,,,,1,1,,1,,,,,1,7,,,,,,,,,,,,,,1,5,240,, 1 ,5,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,1,5,5,5,5,3,3,3,,,,,,,1,,1,1,1,,,,,,1,
B24,MN,48,1,1,1,30,30,,,,1,1,,1,,,,,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,6,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,4,5,5,5,,,,,,5,5,1,5,5,5,5,3,3,3,,,,,,,1,,1,1,1,,,,,,1,
B25,MN,55,1,1,1,40,40,,,,1,1,,1,,,,,1,7,1,,,,,,,,,1,12,365,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,60,,,,,,,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,1,5,5,5,5,3,3,3,,,,,,,1,,1,1,1,,,,,,1,
B26,MN,57,2,1,1,40,40,,,,1,1,,1,,,,,1,7,1,,,,,,,,,1,12,365,,1,12,365,,,,,,,,,,,,,,,,,,,,,,1,1,60,,,,,,,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,4,,4,4,4,4,,,,,,4,4,1,5,5,5,5,3,3,3,,,,,,,1,,1,1,1,,,,,,1,
B27,MN,26,1,3,1,10,10,,,,1,2,5,1,,,,,1,6,,,,,,,,,,1,12,365,,1,12,365,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,6,,,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,5,,5,5,5,4,,,,,,5,4,2,4,4,4,4,2,2,1,,,,,,,1,,1,1,1,,,,,,1,
A1,MR,29,1,3,2,15,,,,,1,1,,1,,,,,1,7.5,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,4,4,4,4,4,4,4,4,4,4,,,,,,,1,,1,1,,,,1,,,,
A2,MR,40,1,2,1,40,20,,,,1,1,,1,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,12,,,,,,,,,,1,1,1,1,1,1,1,4,,4,4,4,4,,,,,,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,
A3,MR,50,1,2,1,30,30,,,,1,1,,1,,,1,5,,,,,,,,,,,,12,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,4,,5,5,5,5,,,,,,5,5,4,5,5,5,5,5,5,5,,,,,,,1,,1,1,,,,,,,1,
A4,MR,48,1,,2,30,,,,,1,1,,,,,,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,4,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,
A5,MR,59,2,1,1,30,,,,1,1,1,,1,,,,,1,7.5,,,,,,,,,,11,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,4,5,5,5,,,,,,5,5,4,5,5,5,5,5,3,5,,,,,,,1,,1,1,,,,,,,1,
A6,MR,60,2,1,1,30,,,,1,1,1,,1,,,1,5,,,,,,,,,,,,11,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,2,4,,4,4,5,5,,,,,,4,4,3,4,4,4,4,4,3,4,,,,,,,1,,1,1,,,,,,,1,
A7,MR,38,2,1,1,10,10,,,,1,1,,1,,,1,6,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,4,,4,4,4,4,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,,,1,,1,1,,,,,,,,1
A8,MR,48,1,1,2,30,,,,,1,2,1,1,,,1,5,,,,,,,,,,,,11,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,,,1,,1,1,,,,,,,1,
A9,MR,33,2,2,1,15,15,,,,1,1,,1,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,,,1,,1,1,,,,,,,1,
A10,MR,32,2,1,1,15,15,,,,1,1,,1,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,,,1,,1,1,,,,,,,1,
A11,MR,41,1,2,1,20,20,,,,1,1,,1,,,,,1,7.5,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,,,1,,1,1,,,,,,,1,
A12,MR,50,1,1,1,30,30,,,,1,1,,1,,,,,1,7,,,,,,,,,,10,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,4,,4,4,4,4,,,,,,5,5,5,5,5,5,5,5,4,5,,,,,,,1,,1,1,,,,,,,1,
A13,MR,48,1,1,2,20,20,,,,1,1,,2,,,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,,,1,,1,1,,,,,,,,1
A14,MR,55,1,1,2,3,3,,,,1,2,5,1,,,1,5,,,,,,,,,,,,12,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,3,,3,4,4,4,,,,,,4,4,4,4,4,4,4,4,4,4,,,,1,10,,,,1,,,,,,,,1,
A15,MR,42,2,1,1,25,,,,1,1,1,,1,,,1,5,,,,,,,,,,,,11,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,4,5,,,,,,5,5,4,5,5,5,4,4,5,4,,,,,,,1,,1,1,,,,,,,1,
A16,MR,39,1,1,1,20,,,,,1,1,,1,,,1,4,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,1,5,5,5,5,5,5,5,1,5,0.3,,,,,,1,1,,,,,,,1,
A17,MR,33,1,1,1,15,15,,,,1,1,,1,,,,,1,8,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,4,5,5,5,5,5,5,5,1,5,0.5,,,,,,1,1,,6,,,,,1,
A18,MR,62,1,1,1,50,50,,,,1,1,,1,,,,,1,7.5,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,1,5,5,5,5,5,5,5,1,10,0.5,,,,,,1,1,,7,,,,,1,
A19,MR,62,1,1,1,58,,,,,1,1,,1,,,,,1,5,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,5,5,5,5,5,5,5,5,1,10,0.5,,,,,,1,1,,8,,,,,1,
A20,MR,42,1,1,1,25,25,,,,2,2,2,1,,,1,6,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,1,5,5,5,5,5,5,5,1,5,0.2,,,,,,1,1,,3,,,,,1,
A21,TK,50,2,2,1,30,30,,,,2,1,,1,,,1,7,,,,,,,,,,,,12,,,,67,,,,1011,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,4,,5,5,4,4,,,,,,5,5,4,4,4,4,4,4,,5,1,3,2,,,,,,1,2,,,,1,,,1,
A22,TK,54,2,1,2,20,10,,,,1,1,,1,,,,,1,7,,,,,,,,,,12,,,,12,,,,10,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,1,5,5,5,3,,1,5,1,3,2,,,,,,1,1,,,,,,,1,
A23,TK,44,1,2,1,10,10,,,,2,2,5,1,,,1,13,,,,,,,,,,,,12,,,,12,,,,1011,,,,11,,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,1,5,5,5,2,2,2,5,1,5,1.5,,,,,,1,2,,,,1,,,1,
A24,TK,38,1,2,1,5,5,,,,2,1,,1,,,,,1,4.5,,,,,,,,,,12,,,,12,,,,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,5,5,,5,,,,,,4,5,4,4,4,4,4,4,4,5,,,,,,,1,,1,2,,1,,,,,,1
A25,TK,50,1,2,1,40,40,,,,2,1,,1,,,,,1,4.5,,,,,,,,,,12,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,5,,5,5,,5,,,,,,5,5,4,,4,4,4,3,2,1,,,,,,,1,,1,2,,1,,,,1,1,1
A26,TK,52,2,1,1,20,20,,,,2,1,,1,,,,,1,4,,,,,,,,,,12,,,,12,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,2,2,2,2,1,1,2,2,5,,5,5,,1,,,,,,3,4,4,4,4,4,2,2,2,3,,,,,,,1,,4,1,,1,,1,,,,
A27,TK,44,2,2,1,20,20,,,,1,1,,1,,,,,1,4.5,,,,,,,,,,12,,,,12,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,5,5,,4,,,,,,5,5,2,3,4,3,3,3,3,5,1,,,,,,,,1,2,,1,,,,,1,1
A28,TK,28,1,6,1,,,,,,2,,,,,,,,1,4.5,,,,,,,,,,12,,,,12,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,1,1,1,1,1,1,1,1,5,,5,5,,5,,,,,,4,4,4,4,4,4,4,3,2,5,1,,,,,,,,1,2,,1,,,,,,1
A29,TK,39,2,2,1,30,30,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,5,5,,5,,,,,,5,5,4,4,4,4,4,4,4,5,1,,,,,,,,1,1,,1,,,,,,1
A30,TK,56,1,1,1,5,5,,,,1,2,2,1,,,,,1,5,,,,,,,,,,12,,,,12,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,,5,,,,,,5,5,,5,5,5,5,5,4,5,1,,,,,,,,1,2,,1,,,,,1,1
A31,TK,32,1,1,1,9,9,,,,2,2,7,1,,,,,1,4.5,,,,,,,,,,12,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,5,5,,5,,,,,,5,5,2,4,3,3,3,3,3,4,,,,,,,1,,1,2,,1,,,,,1,1
A32,TK,49,1,2,1,30,30,,,,1,1,,1,,,,,1,4.8,,,,,,,,,,12,,,,12,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,,5,,,,,,5,5,1,5,5,5,5,3,3,4,1,,0.2,,,,,,1,2,,1,,,,,1,1
A33,TK,47,1,2,1,40,40,,,,2,1,,1,,,,,1,4.5,,,,,,,,,,12,,,,12,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,5,5,,3,,,,,,5,5,1,3,4,4,3,3,3,4,1,,,,,,,,1,2,,1,,,,,1,1
A34,TK,54,1,1,1,40,40,,,,2,1,,1,,,,,1,4.5,,,,,,,,,,12,,,,12,,,,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,,5,,,,,,5,5,1,2,3,3,2,3,3,5,,,,,,,1,,1,2,,1,,,,1,1,1
A35,KK,58,1,1,1,54,54,,,,1,1,,1,1,,,,,,,,,,,,,,,12,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,5,5,5,5,5,5,5,5,1,,3,,,,,,1,,,,,,,,,
A36,KK,66,1,1,1,40,40,,,,1,1,,1,,,,,1,6,,,,,,,,,,10,,,,1,,,,12,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,1,1,1,1,2,1,1,1,1,1,1,1,5,,5,5,5,5,,,,,,5,5,5,5,5,5,5,5,5,5,1,0.2,,,,,,,1,,,,,,,,,
A37,KK,44,1,2,1,20,20,,,,1,,,1,,,,,1,,,,,,,,,,,12,,,,12,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,2,1,1,1,5,,5,5,5,5,,,,,,5,5,5,4,4,5,5,5,5,5,,,,,,,,,1,,,,,,,,,
A38,KK,38,1,2,1,23,23,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,2,2,2,2,2,2,2,2,3,,3,3,1,2,,,,,,1,1,1,1,1,1,1,1,1,1,,,,1,7,3,,,1,3,,,,1,,,1,
A39,KK,24,2,3,2,10,10,,,,2,1,,1,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,1,1,1,1,1,1,1,1,5,,5,5,2,2,,,,,,3,5,3,5,5,5,4,3,3,5,,,,,,,,,,1,,3,,1,,,,
A40,KK,61,2,1,,30,10,,,,1,1,,1,,,,,,,,,,,,,,,,11,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,2,1,1,1,1,1,1,1,5,,5,5,4,5,,,,,,5,5,4,4,4,4,4,3,3,5,,,,1,8,2,,,2,2,,,,1,,1,,
A41,KK,62,1,1,1,50,50,,,,1,2,7,1,,,1,6,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,5,,5,5,3,,,,,,,5,5,4,5,4,4,5,5,3,5,,,,,,,,,2,1,,1,,,,,,1
A42,KK,38,1,4,1,20,20,,,,1,1,,1,,,1,6,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,1,1,1,1,1,1,1,1,5,,5,5,3,3,,,,,,5,4,3,3,3,3,3,3,3,5,,,,,,,,,1,1,,3,,,,,,4