No,place,V102,V103,V104,V105,V1061,V1062,V1063,V1064,V1065,V107,V1081,V1082,V1091,V1092,V1093,V1094,V1095,V1096,V1097,V1101,V1102,V1103,V1104,V1105,V1106,V1107,V1108,V1109,V112,V113,V201,V202,V203,V204,V2051,V2052,V2053,V2054,V2055,V2056,V2057,V2061,V2062,V2063,V2064,V2065,V2066,V2067,V2068,V2069,V20610,V20611,V2071,V2072,V2073,V2074,V2075,V2076,V2077,V2078,V2079,V20792,V20710,V301,V302,V303,V304,V401,V402,V404
B1,MR,25,2,2,2,7,7,,,,1,2,3,,,,,,1,,,,,,,1,,,,2,1,2,2,2,2,1,1,1,1,1,1,1,3,,4,5,5,5,5,5,5,5,5,,,,,,,,,,,,2,3,1,2,,,4
B2,MR,43,2,2,2,5,5,,,,1,2,7,,,,,,5,,1,,,,,,,,,2,1,1,,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,3,,,
B3,MR,42,1,1,2,20,,,,,1,1,,3,,,,,,,1,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,2,3,,2,,2,5
B4,MR,54,1,1,2,30,,,,,2,2,5,1,,,,,1,3,,,,,,,,,1,1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,3,2,1,,,
B5,MR,62,1,,2,30,50,,,,1,2,5,,,,,,12,,1,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,4,5,5,5,5,5,5,5,5,,,,,,,,,,,,2,2,1,2,2,,4
B6,MR,37,1,2,1,22,,,,,1,1,,1,,,,,1,11,1,,,,,,,,,2,1,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,3,2,1,,,
B7,MR,55,1,1,2,50,,,,,1,1,,1,,,,,1,3,,,,,,1,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,3,2,1,,,"1,4"
B8,MR,57,1,,2,,30,,,,1,1,,1,,,1,3,,,,,1,,,,,,,1,1,1,2,,2,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,3,3,1,4,,,4
B9,MR,39,1,2,,30,,,,,1,1,,1,,,1,3,,,,,,,,,,,1,1,1,1,,,,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,3,3,1,,,,1
B10,MR,35,1,,1,30,10,,,,1,1,,1,,,1,,,,,,,,,1,,,,1,1,1,2,,1,1,1,1,1,1,1,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
B11,MR,50,2,1,1,30,30,,,,1,1,,1,,,1,2,,,,,,,,,,,1,1,2,1,1,2,2,1,1,1,1,1,1,1,5,4,5,5,3,4,3,3,4,2,1,,,,,,,,,,,,1,3,2,1,,,4
B12,MR,54,1,1,2,30,30,,,,1,2,5,1,,,,,1,3,,,,,,,,,1,1,2,2,2,2,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,1,3,1,2,,,1
B13,MR,78,1,1,2,30,30,,,,1,1,,1,,,1,6,,,,,,,,,,,1,1,2,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,1,2,3,,,4
B14,MR,51,1,1,2,40,30,,,,1,1,,,,,,,1,11,,,,,,,,,1,1,2,1,1,1,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,1,3,1,2,1,1,1
B15,MR,44,1,,1,20,20,,,,1,1,,,,,,,1,3,,,1,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,1,1,2,2,,,4
B16,MR,25,2,6,1,,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,3,1,1,2,,,4
B17,MR,37,1,2,1,20,20,,,,1,1,,1,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,2,3,1,2,,,4
B18,MR,54,1,,1,30,20,,,,2,1,,1,,,,,1,,,,,,,,,,1,1,1,2,2,2,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,3,1,1,2,,,4
B19,MR,53,2,,1,40,40,,,,1,1,,1,,,,,1,,,,,,,,,,1,1,1,2,2,2,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,3,1,1,2,,,4
B20,MR,50,2,2,1,20,20,,,,2,1,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,3,1,1,1,,,4
B21,MR,46,1,2,1,50,50,,,,2,2,,1,,,,,,,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,2,3,1,1,,,4
B22,MR,55,2,1,1,20,20,,,,2,1,,1,,,,,1,,,,,,,,,,1,1,1,1,2,2,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,1,1,1,1,,,4
B23,MR,47,1,2,1,10,10,,,,1,2,7,1,,,,,1,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,3,1,4,,,4
B24,MR,57,1,,2,50,,,,,,1,,1,,,,,,,,,,,,,,,,2,1,1,2,,,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,3,1,4,,,
B25,MR,61,1,,2,40,40,,,,1,2,,1,,,,,1,7,,,1,,,1,1,,,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,2,1,4,2,,,
B26,MR,37,2,3,2,20,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,2,3,4,,,4
B27,MR,30,1,4,1,20,20,,,,2,1,,2,,,,,,,,,,,,,,,1,1,1,2,2,2,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,1,3,1,2,,,4
B28,MR,60,1,1,2,40,40,,,,1,1,,1,,,,,,,,,,,,,,,,1,1,2,1,2,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,1,1,1,2,,,
B29,MR,50,1,2,1,20,20,,,,1,1,,1,,,1,4,,,,,,,,,,,,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1
B30,MR,57,1,1,1,50,30,,,,1,1,,1,,,1,3,,,,,,,,,,,1,1,2,1,1,1,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,1,3,1,2,,,4
B31,MR,56,1,,1,40,40,,,,1,1,,1,,,,,1,6,,,1,,,,,,,1,2,2,2,2,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,1,3,1,2,,,4
A1,KM,66,1,1,1,40,40,,,,1,1,,,,,,,1,5,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,1,5,5,5,5,5,5,,5,,2,12,2,,,345
A2,KM,51,1,1,2,3,3,,,,1,2,5,,,,,,1,5,,,,,,,,,,2,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,,2,1,1,,,4
A3,KM,33,2,2,1,8,8,,,,1,1,,,,,,,1,6,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,4,5,1,5,5,5,5,5,5,,5,,4,13,2,,,34
A4,KM,65,1,1,2,20,20,,,,2,2,5,,,,,,1,6,,,,,,,,,,2,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,,2,1,1,,,4
A5,KM,34,1,1,1,,,,,10,1,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,,5,,2,13,2,,,234
A6,KM,32,1,1,1,,,,,10,1,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,,5,,2,3,2,,,34
A7,KM,36,2,1,2,,,,,10,1,1,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,,5,,2,1,3,,,34
A8,KM,40,1,,1,30,30,,,,1,1,,,,,,,1,10,1,,1,,,,,,,1,1,1,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,1,5,5,5,5,5,5,,5,,2,3,3,,,34
A9,KM,42,2,1,1,30,30,,,,1,1,,,,,,,1,6,,,1,,,,,,,1,1,1,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,,2,1,1,,,4
A10,KM,46,2,1,2,40,4,,,,1,1,,,,,,,1,5,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,,2,1,1,,,1
A11,KM,41,2,,2,7,,7,,,1,1,,,,,,,,,1,,1,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,,5,,2,3,3,,,3
A12,KM,58,1,1,1,20,20,,,,1,1,,,,,,,1,6,1,1,1,,,1,,,,2,1,1,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,,5,,2,,2,,,34
A13,KM,30,2,4,1,6,8,,,,1,2,5,,,,,,1,6,,,,,,1,,,,2,1,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,,2,2,1,,,
A14,KM,50,1,1,2,30,30,,,,2,2,5,,,,,,1,7,1,1,1,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,,2,1,2,,,34
A15,KM,60,2,4,1,10,10,,,,1,1,,,,,,,1,6,,,1,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,,2,1,1,,,4
A16,KM,62,2,1,1,20,20,,,,2,1,,,,,,,1,3,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,2,2,2,5,5,1,5,5,5,5,5,5,,5,,2,,,,,2
A17,KM,61,1,1,1,34,34,,,,1,1,,,,,,,1,6,,,,,,1,,,1,2,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,1,5,5,5,5,5,5,,5,,2,1,1,,,3
A18,KM,55,2,1,2,,,,,20,2,2,5,,,,,,,,,,,,,,,,,2,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,1,5,5,5,5,5,5,,5,,2,1,2,,,4
A19,KM,26,1,2,1,10,10,,,,2,1,,,,,,,1,,,,1,,,,,,,1,1,1,2,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,,5,,2,13,2,,,1
A20,KM,48,2,1,2,30,30,,,,1,1,,,,,1,4,,,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,,2,1,1,,,4
A21,KM,54,1,1,1,40,40,,,,1,1,,,,,1,7,1,7,,,1,,,,,,,1,1,1,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,,2,1,1,,,4
A22,KM,21,1,5,1,6,6,,,,1,1,,,,,,,1,6,1,,1,,,,,,,1,1,1,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,1,5,5,5,5,5,5,,5,,2,1,2,,,4
A23,KM,40,1,1,1,,20,,,,1,1,,,,,,,1,6,,,1,,,1,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,,,,1,,,
A24,KT,74,1,1,1,40,40,,,,1,1,,,,,1,5,,,,,,,,,,,,1,2,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,1,3,5,5,5,3,5,5,5,5,5,3,,5,,1,1,4,,,4
A25,KT,47,2,2,1,30,30,,,,2,1,,,,,1,2.8,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,5,1,1,1,2,4,4,2,4,4,4,4,4,4,,4,,1,1,2,,,45
A26,KT,50,2,1,2,40,40,,,,2,1,,,,,1,5,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2,1,1,1,5,5,3,5,5,5,5,3,5,,5,,1,1,2,,,5
A27,KT,51,2,2,1,,15,,,,2,2,2,,,,1,4,,,,,,,,,,,,2,1,1,1,1,2,1,1,1,1,1,1,1,5,3,5,5,3,3,5,1,1,1,3,5,4,2,5,3,3,3,1,1,,3,,1,1,2,,,
A28,KT,53,2,1,2,30,30,,,,1,2,5,,,,1,,,,,,,,,,,,1,1,2,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,2,5,5,5,5,3,3,,5,,1,1,2,,,4
A29,KT,63,1,1,1,,30,,,,1,1,,,,,1,4,,,,,,,,,,,,2,1,1,1,1,2,1,1,1,1,1,1,1,5,4,5,5,4,4,4,1,3,5,1,5,5,4,4,3,3,4,4,3,,3,,1,1,3,,,5
A30,KT,31,1,3,2,4,4,,,,,2,6,,,,1,5,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,,2,1,2,,,4
A31,KT,55,1,1,1,15,15,,,,2,1,,,,,1,5,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,4,5,5,3,5,1,1,5,5,3,5,5,5,5,1,1,,5,,2,1,2,,,4
A32,KT,50,1,2,1,,7,,,,1,2,4,,,,1,4,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,3,3,4,1,1,1,1,5,5,3,5,4,3,3,1,1,,2,,1,2,3,,,5
A33,KT,48,1,2,1,,20,,,,2,2,5,,,,1,4,,,,,,,,,,,,2,1,1,1,1,2,1,1,1,1,1,1,1,5,4,5,5,1,4,4,1,1,1,1,5,5,1,5,3,3,3,4,1,,4,,1,1,3,,,5
A34,KK,80,1,1,1,45,45,,,,1,1,,,,,1,4.3,,,,,,,,,,,,1,2,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,4,4,2,4,4,4,4,3,3,,4,,1,1,1,,1,4
A35,KK,41,1,2,1,30,30,,,,1,1,,,,,1,6.5,1,7,1,,,,,,,,,2,1,1,2,1,2,1,1,1,1,1,1,1,3,3,3,,,,,,,,,,,,,,,,,,,,,1,1,4,,,4
A36,KK,38,1,2,1,26,26,,,,1,1,,,,,1,4,,,1,,1,,,,,,,2,2,1,2,2,2,1,1,1,1,1,1,1,4,2,3,4,4,4,3,2,4,5,5,3,4,4,3,5,4,4,3,3,,3,,2,1,1,,1,134
A37,KK,44,1,2,1,30,30,,,,1,2,7,,,,,,1,6,,,1,,,,,,,1,1,1,1,2,1,1,1,1,1,1,1,1,5,5,4,5,1,1,1,1,1,2,2,5,5,3,4,3,3,3,4,3,,3,,3,1,2,,10,24
A38,KK,35,2,,1,12,12,,,,2,2,7,,,,1,4,,,,,,,,,,,,1,2,1,2,2,2,1,1,1,1,1,1,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,2,15
A39,KK,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40,KK,56,1,1,2,,40,,,,1,1,,,,,1,6,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,5,4,5,3,1,2,2,2,2,1,2,2,2,,3,,,,,,,
A41,KK,54,,1,2,,44,,,,1,1,,,,,,,1,6,1,,,,,,,,,2,1,1,1,2,2,1,1,1,2,1,1,1,4,5,4,5,3,3,3,1,5,5,3,2,2,1,2,2,2,2,2,1,,3,,1,1,4,,,5
A42,KK,51,1,2,1,10,10,,,,1,1,,,,,,,1,6,,,1,,,,,,,1,2,1,1,1,2,1,1,1,1,1,1,1,5,5,5,4,1,1,1,3,3,3,3,3,5,4,4,4,4,4,3,3,,4,,1,1,1,,1,34
A43,KK,31,1,2,1,18,5,,,,1,1,,,,,,,1,6.5,1,,1,,,,,,,1,1,1,2,2,2,1,1,1,2,1,1,1,4,4,3,3,3,4,3,4,4,2,4,4,3,4,3,3,4,3,3,3,,3,,1,1,1,,1,34
A44,KK,49,1,2,1,,20,,,,1,1,,,,,,,1,6,,,,,,,,,,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,4,4,2,2,3,5,3,1,2,2,2,2,2,1,2,,2,2,,2,,,,,,,
A45,KK,52,1,1,2,30,30,,,,1,1,,,,,,,1,5,,,,,,,,,1,2,1,1,2,2,2,2,2,2,2,2,1,1,3,3,4,3,1,1,2,3,4,3,2,2,1,2,2,3,3,3,2,2,,2,,,,,,,
A46,KK,42,1,2,2,20,20,,,,1,1,,,,,,,1,4,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,5,5,1,,,,,,,,,,,,,2,4,2,,,
A47,KK,55,1,,2,30,30,,,,2,1,,,,,,,,,1,,1,,,,,,,1,1,1,2,2,2,1,1,1,1,1,1,1,4,2,5,5,1,1,4,4,4,1,1,1,1,1,3,1,1,1,1,1,,4,,1,1,1,,,4
A48,KK,50,1,1,1,,40,,,,1,1,,,,,,,,,,,1,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,4,1,1,5,1,1,1,5,4,4,1,2,2,1,2,1,1,1,1,1,,1,,1,1,2,,,4
A49,KK,63,1,,1,,40,,,,1,1,,,,,,,,,,,1,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,4,1,1,5,1,1,1,5,4,4,1,2,2,1,2,1,1,1,1,1,,1,,1,1,2,,,4
A50,KK,54,1,1,1,30,30,,,,2,1,,,,,2,6,,,,,1,,,,,,,1,2,1,,,,1,1,2,1,1,1,1,4,4,4,4,1,4,1,2,3,1,1,2,2,2,4,1,1,1,2,1,,1,,3,1,1,,,4
A51,KK,36,2,4,1,,,,,,2,2,5,,,,,,,,,,,,,,,,1,1,1,1,,2,,2,2,,,,1,1,3,2,4,5,2,1,,4,4,1,1,,,2,,,,,,,,,,2,1,1,,,1
A52,KK,48,1,1,1,,20,,,,2,,,,,,,,,,1,,1,,,1,,,,1,1,1,2,1,2,1,,,,,1,1,3,3,1,4,1,1,1,3,1,3,1,3,1,1,2,1,1,1,1,1,,4,,4,,1,,,1245
A53,KK,44,1,2,1,,30,,,,1,1,,,,,1,4,1,7,1,,1,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,5,2,2,1,2,3,1,1,,,,3,1,1,1,1,1,,4,,24,1,14,,,5
A54,KK,32,1,2,2,5,5,,,,1,1,,,,,,,,,,,1,,,1,,,,1,,1,2,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,3,3,1,4,1,1,1,1,1,,3,,4,1,1,,,5
A55,KK,66,1,,1,30,30,,,,2,2,5,,,,,,1,6.5,,,1,,,,,,,1,1,2,1,1,2,2,1,2,2,2,2,1,2,1,3,3,1,1,1,4,3,1,1,3,1,3,3,1,1,1,1,1,,1,,2,1,4,,,5
A56,KK,57,1,1,1,,50,,,,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,1,4,1,1,5,1,1,1,3,4,4,1,1,1,1,1,1,1,1,1,1,,1,,2,3,4,,,5