Time,Date,St,rep,Cnidaria,Ctenophora,Annelida,Nemertea,Nematoda,Arthropoda,Phoronida,Chaetognatha,Mollusca,Echinodermata,Urochordata,Chordata
1,Apr18,MN,1,121965,1169,94305,1169,0,167169,0,226791,4290,1555,0,415389
1,Apr18,MN,2,86152,867,75459,4918,0,191101,1735,156121,4909,581,0,427599
1,Apr18,MR,1,20588,0,50685,2036,0,76487,0,221285,14255,0,679,328758
1,Apr18,MR,2,13236,0,37503,2206,0,62011,0,131628,8089,735,493,191685
1,Apr18,TK,1,7477,0,106042,0,0,70791,0,184847,3470,0,0,119665
1,Apr18,TK,2,21630,1046,206499,0,0,239986,0,283592,3495,0,0,238950
1,Apr18,KK,1,6949,0,224924,1490,0,184706,0,232617,5214,0,0,136541
1,Apr18,KK,2,8545,754,235818,1508,0,219216,0,254923,3515,0,0,90754
2,Dec18,MN,1,60982,585,47153,585,0,83585,0,113395,2145,777,0,207695
2,Dec18,MN,2,43076,434,37729,2459,0,95551,867,78061,2455,291,0,213799
2,Dec18,MR,1,13725,0,33790,1358,0,50991,0,147523,9503,0,453,219172
2,Dec18,MR,2,8824,0,25002,1471,0,41342,0,87752,5393,490,328,127790
2,Dec18,TK,1,5607,0,79532,0,0,53093,0,138635,2602,0,0,89749
2,Dec18,TK,2,16223,785,154874,0,0,179989,0,212694,2621,0,0,179212
2,Dec18,KK,1,5212,0,168693,1117,0,138529,0,174463,3910,0,0,102406
2,Dec18,KK,2,6409,566,176864,1131,0,164414,0,191192,2636,0,0,68065
3,Feb19,MN,1,89306,0,84027,1485,163,262307,0,97894,12876,35325,0,441420
3,Feb19,MN,2,32080,0,72823,0,0,148399,0,85424,9843,1181,0,3319695
3,Feb19,MR,1,42415,507,56293,0,0,184769,0,66436,5578,7774,0,263715
3,Feb19,MR,2,15600,0,19933,0,0,59366,0,9533,1735,929,0,52310
3,Feb19,TK,1,20476,476,25871,0,0,69994,0,43810,1747,2062,0,5943971
3,Feb19,TK,2,13172,0,38729,0,0,65871,0,40476,1905,0,0,4640794
3,Feb19,KK,1,2971,17829,40114,0,0,165909,0,141143,5942,0,0,91119
3,Feb19,KK,2,26943,2343,0,0,0,263570,0,271385,6243,2343,0,193683
4,Apr19,MN,1,4949,0,20788,0,0,40092,0,28707,1485,11384,0,160363
4,Apr19,MN,2,3182,530,21212,0,0,68409,0,40303,5303,10606,0,357424
4,Apr19,MR,1,9805,754,22626,0,0,105589,0,88242,5280,8296,0,408781
4,Apr19,MR,2,6222,0,12444,0,0,91070,0,27717,4526,1697,0,336566
4,Apr19,TK,1,4949,2121,46667,0,0,269393,0,127273,9191,707,0,62929
4,Apr19,TK,2,1697,0,26303,0,0,173089,0,194303,8485,848,0,117091
4,Apr19,KK,1,6010,1803,17429,0,0,180303,0,86545,3005,1202,0,355798
4,Apr19,KK,2,2722,2178,16333,0,0,176399,0,70778,2178,1089,0,124677
5,Jun19,MN,1,6364,0,19091,0,0,32525,0,24747,2828,6364,0,1149697
5,Jun19,MN,2,15084,0,14330,0,0,53549,754,29414,2263,11313,0,1194667
5,Jun19,MR,1,707,707,10606,0,0,22626,707,2121,1414,0,0,548687
5,Jun19,MR,2,2828,0,12727,0,0,19091,707,4949,2121,2121,0,555051
5,Jun19,TK,1,5515,8824,69491,0,0,30885,2206,11030,4412,0,0,922133
5,Jun19,TK,2,0,9927,81624,0,0,30885,0,13236,2206,0,0,1232085
5,Jun19,KK,1,1603,4007,24842,0,0,35259,1603,20034,1603,0,0,1097845
5,Jun19,KK,2,1565,3912,21127,0,0,28170,782,17997,1565,0,0,922558
6,Aug19,MN,1,1895,1263,9475,0,0,48007,632,11370,1263,1263,0,138332
6,Aug19,MN,2,2659,886,15065,0,0,79757,0,49627,886,886,0,319030
6,Aug19,MR,1,3771,0,6034,0,0,26397,0,7542,0,0,0,111622
6,Aug19,MR,2,3960,0,5543,0,0,37221,0,11879,0,0,0,88695
6,Aug19,TK,1,2404,801,65710,0,0,157865,0,158667,2404,0,0,89750
6,Aug19,TK,2,2206,0,36768,0,0,158836,0,144129,1471,0,0,58093
6,Aug19,KK,1,820,0,56594,0,0,155018,0,180444,820,0,0,56593
6,Aug19,KK,2,3168,0,64937,0,0,119581,0,136210,792,0,0,97406